30/3/2020 21:35:35 Se conecto con ip:169.57.142.76 SE: 1519427592
30/3/2020 21:36:58 Agarro:1 Objeto:Túnica Perseus (Bajo/as)
30/3/2020 22:23:13 /TELEPLOC a x:57 Y:54 Map:166
30/3/2020 22:23:14 /TELEPLOC a x:52 Y:54 Map:166
30/3/2020 22:23:14 /TELEPLOC a x:52 Y:55 Map:166
30/3/2020 22:23:14 /TELEPLOC a x:47 Y:56 Map:166
30/3/2020 22:23:15 /TELEPLOC a x:47 Y:56 Map:166
30/3/2020 22:23:15 /TELEPLOC a x:43 Y:58 Map:166
30/3/2020 22:23:16 /TELEPLOC a x:40 Y:61 Map:166
30/3/2020 22:23:17 /TELEPLOC a x:45 Y:60 Map:166
30/3/2020 22:23:17 /TELEPLOC a x:51 Y:59 Map:166
30/3/2020 22:23:18 /TELEPLOC a x:57 Y:58 Map:166
30/3/2020 22:24:24 /TELEPLOC a x:61 Y:61 Map:166
30/3/2020 22:24:25 /TELEPLOC a x:56 Y:62 Map:166
30/3/2020 22:24:26 /TELEPLOC a x:56 Y:62 Map:166
30/3/2020 22:24:27 /TELEPLOC a x:55 Y:60 Map:166
30/3/2020 22:24:30 /TELEPLOC a x:53 Y:63 Map:166
30/3/2020 22:24:30 /TELEPLOC a x:51 Y:66 Map:166
30/3/2020 22:24:30 /TELEPLOC a x:51 Y:66 Map:166
30/3/2020 22:24:31 /TELEPLOC a x:49 Y:69 Map:166
30/3/2020 22:24:32 /TELEPLOC a x:47 Y:72 Map:166
30/3/2020 22:24:33 /TELEPLOC a x:43 Y:71 Map:166
30/3/2020 22:25:14 /TELEPLOC a x:42 Y:69 Map:166
