5/12/2020 7:33:01 PM /TELEPLOC a x:35 Y:26 Map:34
5/12/2020 7:33:02 PM /TELEPLOC a x:35 Y:22 Map:34
5/12/2020 7:33:04 PM /TELEPLOC a x:42 Y:20 Map:34
5/12/2020 7:33:13 PM /TELEPLOC a x:35 Y:21 Map:34
5/12/2020 7:33:14 PM /TELEPLOC a x:29 Y:20 Map:34
5/12/2020 7:33:15 PM /TELEPLOC a x:23 Y:19 Map:34
5/12/2020 7:33:16 PM /TELEPLOC a x:18 Y:20 Map:34
5/12/2020 7:33:17 PM /TELEPLOC a x:12 Y:21 Map:34
5/12/2020 7:33:18 PM /TELEPLOC a x:19 Y:23 Map:34
5/12/2020 7:33:20 PM /TELEPLOC a x:26 Y:21 Map:34
5/12/2020 7:33:21 PM /TELEPLOC a x:30 Y:19 Map:34
5/12/2020 7:33:44 PM /TELEPLOC a x:45 Y:48 Map:34
5/12/2020 7:33:45 PM /TELEPLOC a x:40 Y:45 Map:34
5/12/2020 7:33:46 PM /TELEPLOC a x:36 Y:41 Map:34
5/12/2020 7:33:48 PM /TELEPLOC a x:34 Y:37 Map:34
5/12/2020 7:33:49 PM /TELEPLOC a x:33 Y:33 Map:34
5/12/2020 7:33:50 PM /TELEPLOC a x:34 Y:29 Map:34
5/12/2020 7:33:51 PM /TELEPLOC a x:34 Y:25 Map:34
5/12/2020 7:34:15 PM /TELEPLOC a x:36 Y:23 Map:34
5/12/2020 7:34:25 PM /TELEPLOC a x:30 Y:19 Map:34
5/12/2020 7:34:43 PM /TELEPLOC a x:53 Y:54 Map:139
5/12/2020 7:35:22 PM /TELEPLOC a x:53 Y:79 Map:140
5/12/2020 7:35:22 PM /TELEPLOC a x:52 Y:75 Map:140
5/12/2020 7:35:22 PM /TELEPLOC a x:51 Y:71 Map:140
5/12/2020 7:35:23 PM /TELEPLOC a x:50 Y:67 Map:140
5/12/2020 7:35:23 PM /TELEPLOC a x:51 Y:63 Map:140
5/12/2020 7:35:23 PM /TELEPLOC a x:51 Y:62 Map:140
5/12/2020 7:35:23 PM /TELEPLOC a x:53 Y:58 Map:140
5/12/2020 7:35:23 PM /TELEPLOC a x:54 Y:57 Map:140
5/12/2020 7:35:23 PM /TELEPLOC a x:57 Y:52 Map:140
5/12/2020 7:35:24 PM /TELEPLOC a x:59 Y:47 Map:140
5/12/2020 7:35:24 PM /TELEPLOC a x:60 Y:42 Map:140
5/12/2020 7:35:24 PM /TELEPLOC a x:59 Y:42 Map:140
5/12/2020 7:35:24 PM /TELEPLOC a x:59 Y:37 Map:140
5/12/2020 7:35:24 PM /TELEPLOC a x:56 Y:37 Map:140
5/12/2020 7:35:24 PM /TELEPLOC a x:55 Y:32 Map:140
5/12/2020 7:35:24 PM /TELEPLOC a x:53 Y:32 Map:140
5/12/2020 7:35:25 PM /TELEPLOC a x:55 Y:27 Map:140
5/12/2020 7:35:25 PM /TELEPLOC a x:52 Y:27 Map:140
5/12/2020 7:35:25 PM /TELEPLOC a x:51 Y:22 Map:140
5/12/2020 7:35:25 PM /TELEPLOC a x:52 Y:17 Map:140
5/12/2020 7:35:26 PM /TELEPLOC a x:56 Y:12 Map:140
5/12/2020 7:35:26 PM /TELEPLOC a x:56 Y:12 Map:140
5/12/2020 7:35:26 PM /TELEPLOC a x:59 Y:8 Map:140
5/12/2020 7:35:26 PM /TELEPLOC a x:58 Y:8 Map:140
5/12/2020 7:35:26 PM /TELEPLOC a x:58 Y:8 Map:140
5/12/2020 7:35:27 PM /TELEPLOC a x:58 Y:8 Map:140
5/12/2020 7:35:31 PM /TELEPLOC a x:59 Y:8 Map:140
5/12/2020 7:35:34 PM /TELEPLOC a x:58 Y:8 Map:140
5/12/2020 7:37:36 PM Se conecto con ip:190.246.236.21 SE: 415356385
5/12/2020 7:37:50 PM /INVISIBLE
5/12/2020 7:38:04 PM /TELEPLOC a x:43 Y:50 Map:110
5/12/2020 7:38:07 PM /TELEPLOC a x:43 Y:55 Map:110
5/12/2020 7:38:08 PM /TELEPLOC a x:50 Y:55 Map:110
5/12/2020 7:38:13 PM /TELEPLOC a x:47 Y:55 Map:110
5/12/2020 7:38:13 PM /TELEPLOC a x:51 Y:54 Map:110
5/12/2020 7:38:14 PM /TELEPLOC a x:53 Y:51 Map:110
5/12/2020 7:38:18 PM /TELEPLOC a x:48 Y:50 Map:110
5/12/2020 7:38:20 PM /TELEPLOC a x:47 Y:52 Map:110
5/12/2020 7:38:26 PM /TELEPLOC a x:47 Y:50 Map:110
5/12/2020 7:38:27 PM /TELEPLOC a x:47 Y:48 Map:110
5/12/2020 7:38:30 PM /TELEPLOC a x:45 Y:53 Map:110
5/12/2020 7:38:33 PM /TELEPLOC a x:65 Y:19 Map:165
5/12/2020 7:38:34 PM /TELEPLOC a x:60 Y:22 Map:165
5/12/2020 7:38:35 PM /TELEPLOC a x:59 Y:25 Map:165
5/12/2020 7:38:37 PM /TELEPLOC a x:56 Y:24 Map:165
5/12/2020 7:38:38 PM /TELEPLOC a x:53 Y:23 Map:165
5/12/2020 7:38:40 PM /TELEPLOC a x:50 Y:22 Map:165
5/12/2020 7:38:41 PM /TELEPLOC a x:47 Y:21 Map:165
5/12/2020 7:38:42 PM /TELEPLOC a x:44 Y:20 Map:165
5/12/2020 7:38:45 PM /TELEPLOC a x:41 Y:19 Map:165
5/12/2020 7:38:47 PM /TELEPLOC a x:35 Y:21 Map:165
5/12/2020 7:38:48 PM /TELEPLOC a x:29 Y:22 Map:165
5/12/2020 7:38:48 PM /TELEPLOC a x:23 Y:22 Map:165
5/12/2020 7:38:49 PM /TELEPLOC a x:20 Y:19 Map:165
5/12/2020 7:38:52 PM /TELEPLOC a x:24 Y:19 Map:165
5/12/2020 7:38:53 PM /TELEPLOC a x:28 Y:21 Map:165
5/12/2020 7:38:54 PM /TELEPLOC a x:33 Y:23 Map:165
5/12/2020 7:39:03 PM /TELEPLOC a x:46 Y:52 Map:34
5/12/2020 7:39:07 PM /TELEPLOC a x:42 Y:54 Map:34
5/12/2020 7:39:11 PM /TELEPLOC a x:42 Y:53 Map:34
5/12/2020 7:39:12 PM /TELEPLOC a x:42 Y:53 Map:34
5/12/2020 7:39:42 PM /TELEPLOC a x:43 Y:53 Map:34
5/12/2020 7:39:43 PM /TELEPLOC a x:47 Y:52 Map:34
5/12/2020 7:39:45 PM /TELEPLOC a x:44 Y:53 Map:34
5/12/2020 7:39:46 PM /TELEPLOC a x:42 Y:53 Map:34
5/12/2020 7:39:47 PM /TELEPLOC a x:39 Y:54 Map:34
5/12/2020 7:39:49 PM /TELEPLOC a x:39 Y:53 Map:34
5/12/2020 7:39:51 PM /TELEPLOC a x:39 Y:52 Map:34
5/12/2020 7:39:52 PM /TELEPLOC a x:43 Y:52 Map:34
5/12/2020 7:40:10 PM /TELEPLOC a x:50 Y:57 Map:34
5/12/2020 7:40:12 PM /TELEPLOC a x:50 Y:56 Map:34
5/12/2020 7:40:14 PM /TELEPLOC a x:52 Y:56 Map:34
5/12/2020 7:40:43 PM /TELEPLOC a x:50 Y:62 Map:34
5/12/2020 7:40:45 PM /TELEPLOC a x:51 Y:62 Map:34
